Japanese,English
kankokujin,Korean person
amerikajin,American person
nihonjin,Japanese person
chuugokujin,Chinese person
igirisujin,British person
kaishain,office worker
gakusei,student
isha,doctor
sensei,teacher
ryuugakusei,foreign student
otokonohito,man
onnanohito,woman
hon,book
shimbun,newspaper
zasshi,magazine
tegami,letter
tsukue,desk
isu,chair
terebi,TV
kamera,camera
teburu,table
eiga,movie
nihongo,Japanese language
chuugokugo,Chinese language
eigo,English language
jisho,dictionary
hankachi,handkerchief
pasokon,personal computer
tokei,clock
kasa,umbrella
kaban,bag
toire,toilet
jimushitsu,office room
toshokan,library
kaigishitsu,meeting room
gakkou,school
kyoushitsu,classroom
resutoran,restaurant
depato,department store
eigakan,movie theater
ginkou,bank
hon'ya,book store
byouin,hospital
kissaten,coffee shop
yuubinkyoku,post office
kouen,park
ishi,stone
niwa,garden
heya,room
hana,flower
kodomo,child
inu,dog
ima,living room
neko,cat
kusuri,medicine
hako,box
tonari,next to
naka,inside
beddo,bed
ue,above
mae,front
ushiro,behind
shita,below
reizouko,fridge
jawan,rice bowl
ringo,apple
biru,beer
koucha,black tea
gurasu,glass
tori,bird
yoko,beside
ie,house
soto,outside
kuruma,car
ki,tree
sakana,fish
pen,pen
shachou,president
petto,pet
keshigomu,eraser
saifu,wallet
ni,2
san,3
go,5
juu,10
kyuu,9
ichi,1
roku,6
hachi,8
yonjuunana,47
nijuukyuu,29
gojuuroku,56
hachijuusan,83
nanajuuyon,74
rokujuugo,65
juuichi,11
sanjuuhachi,38
shichi,7
kyuujuuni,92
yon,4
gogo,PM
yoji,4 o'clock
kuji,9 o'clock
nijijuppun,02:10
juujihan,half past 10
hachijijuugofun,08:15
rokujisanjuppun,06:30
gozen,AM
shichiji,7 o'clock
getsuyoubi,Monday
mokuyoubi,Thursday
suiyoubi,Wednesday
kayoubi,Tuesday
kin'youbi,Friday
otokonoko,boy
onnanoko,girl
hyaku,100
sanbyaku,300
yonhyaku,400
roppyaku,600
happyaku,800
nanahyaku,700
nihyaku,200
gohyaku,500
kyuuyaku,900
sen,1000
yonsen,4000
sanzen,3000
nanasen,7000
rokusen,6000
hassen,8000
en,yen
ichiman,10000
otousan,father
okaasan,mother
ojiisan,grandfather
obaasan,grandmother
oniisan,older brother
oneesan,older sister
amerika,America
nihon,Japan
haha,my mother
ani,my older brother
ane,my older sister
musuko,son
musume,daughter
chichi,my father
hare,sunny
kumori,cloudy
yuki,snow
doyoubi,Saturday
ame,rain
tenki,weather
nichiyoubi,Sunday
haru,Spring
natsu,Summer
toukyou,Tokyo
atatakai,warm
atsui,hot
suzushii,cool
samui,cold
fuyu,Winter
aki,Autumn
uma,horse
ookii,big
chiisai,small
panda,panda
karui,light (weight)
omoi,heavy
kawaii,cute
tora,tiger
saru,monkey
nimotsu,luggage
raion,lion
zou,elephant
usagi,rabbit
doubutsu,animal
kuroi,black
akai,red
sashimi,sashimi
iro,colour
sushi,sushi
shiroi,white
banana,banana
kiiroi,yellow
aoi,blue
jusu,juice
uwagi,jacket
kutsushita,socks
midori,green
nagai,long
nekutai,necktie
takai,expensive
yasui,cheap
seta,sweater
orenjiiro,orange
kutsu,shoes
koto,coat
jinzu,jeans
shatsu,shirt
youfuku,Western clothes
mijikai,short
zubon,pants
shizuka,quiet
machi,town
nigiyaka,lively
kombini,convenience store
kantan,simple
benri,convenient
jin,person
osake,alcohol
shinsetsu,kind
kirei,pretty
yuumei,famous
ryouri,cuisine
kau,to buy
otto,my husband
kohi,coffee
nomu,to drink
kaku,to write
okusan,your wife
yomu,to read
ongaku,music
pan,bread
tsuma,my wife
ocha,tea
rajio,radio
kiku,to listen
goshujin,your husband
gyuunyuu,milk
dekakeru,to go out
neru,to sleep
miru,to see
tamago,egg
okiru,to get up
bangohan,dinner
taberu,to eat
asagohan,breakfast
hirugohan,lunch
demukaeru,to greet; to welcome
chuugoku,China
shukkinsuru,to go to work
jogingusuru,to jog
ryokousuru,to travel
sanposuru,to go for a walk
kuru,to come
soujisuru,to clean
oyogu,to swim
asobu,to play
puru,pool
supa,supermarket
hataraku,to work
yasumu,to rest
kare,curry
benkyousuru,to study
shokudou,cafeteria
supun,spoon
hashi,chopsticks
supu,soup
naifu,knife
toriniku,chicken meat
ramen,Ramen
kami,paper
tsukuru,to make
kiru,to cut
hagaki,postcard
dasu,to take out
kyoudai,siblings
doubutsuen,zoo
hebi,snake
tomodachi,friend
ryoushin,parents
pekin,Beijing
oosaka,Osaka
iku,to go
kuni,country
kaeru,to return
bijutsukan,art museum
igirisu,England
furansu,France
doitsu,Germany
kazoku,family
osutoraria,Australia
basu,bus
densha,train
hikouki,airplane
takushi,taxi
jitensha,bicycle
bune,ship
chikatetsu,subway
hoteru,hotel
kuukou,airport
eki,station
ryou,dormitory
otera,temple
sakka,soccer
furansugo,French language
supotsu,sports
arubaito,part-time job
jugyou,lesson
yama,mountain
noboru,to climb
fuku,clothes
itsumo,always
yoku,often
tokidoki,sometimes
tamani,occasionally
amari,not much
hotondo,rarely
zenzen,not at all
utau,to sing
untensuru,to drive
uta,song
ansatsukyoushitsu,Assassination Classroom
ji,character
chizu,map
tsukau,to use
wakaru,to understand
omoshiroi,interesting
tsumaranai,boring
urusai,noisy
yasai,vegetable
sarada,salad
mazui,bad tasting
ame,candy
amai,sweet
ebi,shrimp
oishii,delicious
okashi,sweets
tenisu,tennis
zuki,like
suiei,swimming
jogingu,jogging
kirai,hate
badominton,badminton
haikingu,hiking
yakyuu,baseball
jouzu,good at
basuke,basketball
suki,skiing
takkyuu,table tennis
beta,bad at
ninki,popular
taikyokuken,Tai Chi
hokkaidou,Hokkaido
tabemono,food
ooi,many
okinawa,Okinawa
sukunai,few
me,eye
hana,nose
te,hand
ashi,foot
futoi,fat
hosoi,thin
kami,hair
shippo,tail (animal)
hikui,low
atama,head
onaka,stomach
itai,painful
imouto,younger sister
muzukashii,difficult
wakai,young
hiroi,wide
hayai,fast
yasashii,easy
semai,narrow
osoi,slow
sukato,skirt
ichigo,strawberry
kyouto,Kyoto
kudamono,fruit
suika,watermelon
yasashii,gentle
ten,shop
akarui,bright
toshi,city
hansamu,handsome
kurai,dark
boushi,hat
keitaidenwa,mobile phone
kurasumeto,classmate
koibito,lover
on,sound
tsumetai,ice cold
kyoushi,teacher
sora,sky
tobu,to fly
hashiru,to run
undoujou,playground
kao,face
ofuro,bath
hairu,to enter
kariru,to borrow
motsu,to carry
kimono,kimono
kiru,to wear
hidari,left
migi,right
higashi,East
nishi,West
minami,South
kita,North
michi,street
magaru,to turn
kousaten,intersection
shingou,traffic light
suwaru,to sit
kaku,corner
doa,door
akeru,to open
mado,window
shimeru,to close
namae,name
matsu,to wait
shashin,picture
toru,to take (a picture)
tabako,cigarette
suu,to breathe in
gomi,trash
suteru,to throw away
oku,to put down
kura,cooler
tsukeru,to turn on
denki,light (electricity)
kesu,to turn off
denwa,phone
tomeru,to stop
ha,teeth
migaku,to polish
hanasu,to talk
oshieru,to teach
kayou,to go back and forth
furu,to fall (rain/snow)
sakura,cherry blossom
shiru,to know
megane,glasses
kakeru,to make a call
masuku,mask
kaburu,to put on (hat)
kekkonsuru,to marry
hajimaru,to start
sumu,to live
rouka,hallway
peji,page
haru,to stick
noru,to ride
kitte,stamp
nugu,to take off
hiragana,hiragana
katakana,katakana
oboeru,to remember
sutsu,suit
mizu,water
soudansuru,to discuss
watasu,to deliver
keki,cake
naku,to cry
warau,to laugh/smile
sakebu,to shout
yume,dream
akachan,baby
yaoya,greengrocer
apato,apartment
kau,to raise
pasupoto,passport